NutrientID,Unit,Name
820,g,"ACIDES GRAS MONOINSATURÉS, 24:1c, TÉTRACOSÉNOÏQUE"
823,g,"ACIDES GRAS POLYINSATURÉS, 20:2 c,c  EÏCOSADIÉNOÏQUE"
821,g,"ACIDES GRAS MONOINSATURÉS, 16:1c, HEXADÉCÉNOÏQUE"
824,g,"ACIDES GRAS MONOINSATURÉS, 18:1c, OCTADÉCÉNOÏQUE"
825,g,"ACIDES GRAS POLYINSATURÉS, 18:2 c,c n-6, LINOLÉIQUE, OCTADÉCADIÉNOÏQUE"
840,g,"ACIDES GRAS MONOINSATURÉS, 22:1c, DOCOSÉNOÏQUE"
832,g,"ACIDES GRAS POLYINSATURÉS, 18:3 c,c,c n-6, g-LINOLÉNIQUE, OCTADÉCATRIÉNOÏQUE"
826,g,"ACIDES GRAS MONOINSATURÉS, 17:1, HEPTADÉCÉNOÏQUE"
827,g,"ACIDES GRAS POLYINSATURÉS, 20:3, EÏCOSATRIÉNOÏQUE"
829,g,ACIDES GRAS TRANS MONOÉNOÏQUES TOTAUX
859,g,ACIDES GRAS TRANS POLYÉNOÏQUES TOTAUX
830,g,"ACIDES GRAS SATURÉS, 13:0, TRIDÉCANOÏQUE"
833,g,"ACIDES GRAS MONOINSATURÉS, 15:1, PENTADÉCÉNOÏQUE"
802,g,MONOSACCHARIDES TOTAUX
803,g,DISACCHARIDES TOTAUX
831,g,"ACIDES GRAS POLYINSATURÉS, 18:3 c,c,c  n-3, LINOLÉNIQUE, OCTADÉCATRIÉNOÏQUE"
861,g,"ACIDES GRAS POLYINSATURÉS, 20:3 n-3"
854,g,"ACIDES GRAS POLYINSATURÉS, 20:3 n-6, EÏCOSATRIÉNOÏQUE"
855,g,"ACIDES GRAS POLYINSATURÉS, 20:4 n-6, ARACHIDONIQUE"
841,g,"ACIDES GRAS POLYINSATURÉS, 18:3i, LINOLÉNIQUE, OCTADÉCATRIÉNOÏQUE"
843,g,"ACIDES GRAS POLYINSATURÉS,  21:5"
845,g,"ACIDES GRAS POLYINSATURÉS, 22:4n-6, DOCOSATÉTRAÉNOÏQUE"
846,g,"ACIDES GRAS MONOINSATURÉS, 24:1non différencié, TÉTRACOSÉNOÏQUE"
847,g,"ACIDES GRAS MONOINSATURÉS, 12:1, LAUROLEIC"
848,g,"ACIDES GRAS POLYINSATURÉS, 22:3"
849,g,"ACIDES GRAS POLYINSATURÉS, 22:2, DOCOSADIÉNOÏQUE"
868,g,"ACIDES GRAS POLYINSATURÉS, TOTAUX D'OMÉGA N-3
"
869,g,"ACIDES GRAS POLYINSATURÉS, TOTAUX D'OMÉGA N-6"
